,pvalues,speciesName,padj,model
1,0.3347, Acalypha deamii,0.398574046,e Climate Segment f Climate Segment
2,0.2359, Acalypha ostryifolia,0.2944032,e Climate Segment f Climate Segment
3,0.1933, Acalypha virginica,0.24857284,e Climate Segment f Climate Segment
4,0.6976, Actaea racemosa,0.731600672,e Climate Segment f Climate Segment
5,0.1761, Aesculus flava,0.229407933,e Climate Segment f Climate Segment
6,0, Agalinis paupercula,0,e Climate Segment f Climate Segment
7,0, Agrimonia gryposepala,0,e Climate Segment f Climate Segment
8,0.0486, Agrostis elliottiana,0.072205714,e Climate Segment f Climate Segment
9,0, Agrostis scabra,0,e Climate Segment f Climate Segment
10,0, Aletris farinosa,0,e Climate Segment f Climate Segment
11,3.00E-04, Alnus incana,0.000574233,e Climate Segment f Climate Segment
12,0, Alopecurus aequalis,0,e Climate Segment f Climate Segment
13,0.0883, Alopecurus carolinianus,0.12579726,e Climate Segment f Climate Segment
14,0, Ambrosia artemisiifolia,0,e Climate Segment f Climate Segment
15,0.0125, Ammannia robusta,0.020526316,e Climate Segment f Climate Segment
16,0, Amorpha canescens,0,e Climate Segment f Climate Segment
17,0.4368, Amorpha fruticosa,0.488464516,e Climate Segment f Climate Segment
18,0.0036, Ampelopsis cordata,0.006310112,e Climate Segment f Climate Segment
19,0.2233, Amsonia tabernaemontana,0.27979759,e Climate Segment f Climate Segment
20,0, Andromeda polifolia,0,e Climate Segment f Climate Segment
21,0.5843, Andropogon gyrans,0.626465979,e Climate Segment f Climate Segment
22,0.012, Andropogon virginicus,0.019809524,e Climate Segment f Climate Segment
23,0, Anemone americana,0,e Climate Segment f Climate Segment
24,0, Anemone cylindrica,0,e Climate Segment f Climate Segment
25,0, Anemone quinquefolia,0,e Climate Segment f Climate Segment
26,0.3782, Angelica venenosa,0.439472626,e Climate Segment f Climate Segment
27,0.0013, Apios americana,0.00235814,e Climate Segment f Climate Segment
28,0, Apocynum androsaemifolium,0,e Climate Segment f Climate Segment
29,0, Arabidopsis lyrata,0,e Climate Segment f Climate Segment
30,0, Aralia nudicaulis,0,e Climate Segment f Climate Segment
31,0.0265, Aralia spinosa,0.041757576,e Climate Segment f Climate Segment
32,0.096, Aristida dichotoma,0.135529412,e Climate Segment f Climate Segment
33,0.268, Aristida longespica,0.32919685,e Climate Segment f Climate Segment
34,0.0704, Aristida oligantha,0.101688889,e Climate Segment f Climate Segment
35,0, Aristida purpurascens,0,e Climate Segment f Climate Segment
36,0.2744, Aristida ramosissima,0.334259649,e Climate Segment f Climate Segment
37,0, Arnoglossum plantagineum,0,e Climate Segment f Climate Segment
38,0.4051, Arnoglossum reniforme,0.455463784,e Climate Segment f Climate Segment
39,0, Aronia melanocarpa,0,e Climate Segment f Climate Segment
40,0, Artemisia campestris,0,e Climate Segment f Climate Segment
41,0.0983, Aruncus dioicus,0.137981124,e Climate Segment f Climate Segment
42,0.1468, Arundinaria gigantea,0.201325714,e Climate Segment f Climate Segment
43,0, Asclepias amplexicaulis,0,e Climate Segment f Climate Segment
44,0, Asclepias hirtella,0,e Climate Segment f Climate Segment
45,0.3339, Asclepias perennis,0.398574046,e Climate Segment f Climate Segment
46,0.0078, Asclepias purpurascens,0.013154595,e Climate Segment f Climate Segment
47,0.0074, Asclepias quadrifolia,0.012513821,e Climate Segment f Climate Segment
48,0.174, Asclepias variegata,0.227146444,e Climate Segment f Climate Segment
49,0, Asclepias verticillata,0,e Climate Segment f Climate Segment
50,0, Asclepias viridiflora,0,e Climate Segment f Climate Segment
51,0.0299, Asplenium platyneuron,0.046644,e Climate Segment f Climate Segment
52,0.055, Asplenium rhizophyllum,0.080943396,e Climate Segment f Climate Segment
53,0.0011, Astragalus canadensis,0.002012903,e Climate Segment f Climate Segment
54,0, Aureolaria pedicularia,0,e Climate Segment f Climate Segment
55,0.0183, Aureolaria virginica,0.029430928,e Climate Segment f Climate Segment
56,0, Baptisia alba,0,e Climate Segment f Climate Segment
57,0.8625, Baptisia australis,0.873701299,e Climate Segment f Climate Segment
58,1.00E-04, Baptisia leucophaea,0.000203257,e Climate Segment f Climate Segment
59,0, Bartonia virginica,0,e Climate Segment f Climate Segment
60,1.00E-04, Betula alleghaniensis,0.000203257,e Climate Segment f Climate Segment
61,0.027, Betula nigra,0.042225564,e Climate Segment f Climate Segment
62,0, Betula pumila,0,e Climate Segment f Climate Segment
63,0.0505, Bidens aristosa,0.074672986,e Climate Segment f Climate Segment
64,0, Bidens connata,0,e Climate Segment f Climate Segment
65,0, Bidens trichosperma,0,e Climate Segment f Climate Segment
66,0.4306, Bignonia capreolata,0.482395691,e Climate Segment f Climate Segment
67,0, Borodinia dentata,0,e Climate Segment f Climate Segment
68,0, Brasenia schreberi,0,e Climate Segment f Climate Segment
69,0, Bromus ciliatus,0,e Climate Segment f Climate Segment
70,0, Bulbostylis capillaris,0,e Climate Segment f Climate Segment
71,0, Calamagrostis canadensis,0,e Climate Segment f Climate Segment
72,0, Calamagrostis stricta,0,e Climate Segment f Climate Segment
73,0.0205, Callitriche terrestris,0.032716113,e Climate Segment f Climate Segment
74,0, Calopogon tuberosus,0,e Climate Segment f Climate Segment
75,0.1703, Calycocarpum lyonii,0.224192405,e Climate Segment f Climate Segment
76,0.8369, Calystegia catesbeiana,0.850530293,e Climate Segment f Climate Segment
77,0, Campanula aparinoides,0,e Climate Segment f Climate Segment
78,0, Campanula rotundifolia,0,e Climate Segment f Climate Segment
79,0.0267, Cardamine angustata,0.041966751,e Climate Segment f Climate Segment
80,0.0648, Cardamine parviflora,0.094254545,e Climate Segment f Climate Segment
81,0.1923, Carex albolutescens,0.248437267,e Climate Segment f Climate Segment
82,0.4783, Carex annectens,0.529182979,e Climate Segment f Climate Segment
83,0, Carex bicknellii,0,e Climate Segment f Climate Segment
84,0.3933, Carex bushii,0.444713043,e Climate Segment f Climate Segment
85,4.00E-04, Carex buxbaumii,0.000756364,e Climate Segment f Climate Segment
86,0, Carex canescens,0,e Climate Segment f Climate Segment
87,0.6437, Carex caroliniana,0.684273935,e Climate Segment f Climate Segment
88,0, Carex comosa,0,e Climate Segment f Climate Segment
89,0.3486, Carex crus-corvi,0.411981818,e Climate Segment f Climate Segment
90,0, Carex davisii,0,e Climate Segment f Climate Segment
91,0.03, Carex debilis,0.046683292,e Climate Segment f Climate Segment
92,1.00E-04, Carex diandra,0.000203257,e Climate Segment f Climate Segment
93,0.5375, Carex festucacea,0.581282496,e Climate Segment f Climate Segment
94,1.00E-04, Carex frankii,0.000203257,e Climate Segment f Climate Segment
95,0.0458, Carex glaucodea,0.068865542,e Climate Segment f Climate Segment
96,0.8352, Carex louisianica,0.850187276,e Climate Segment f Climate Segment
97,0.0026, Carex muehlenbergii,0.004622222,e Climate Segment f Climate Segment
98,2.00E-04, Carex oligosperma,0.000386378,e Climate Segment f Climate Segment
99,0, Carex pellita,0,e Climate Segment f Climate Segment
100,0, Carex pensylvanica,0,e Climate Segment f Climate Segment
101,0.1574, Carex retroflexa,0.211570815,e Climate Segment f Climate Segment
102,0, Carex scoparia,0,e Climate Segment f Climate Segment
103,0, Carex shortiana,0,e Climate Segment f Climate Segment
104,2.00E-04, Carex siccata,0.000386378,e Climate Segment f Climate Segment
105,0.0227, Carex squarrosa,0.036042748,e Climate Segment f Climate Segment
106,0, Carex stricta,0,e Climate Segment f Climate Segment
107,0, Carex suberecta,0,e Climate Segment f Climate Segment
108,2.00E-04, Carex tonsa,0.000386378,e Climate Segment f Climate Segment
109,0, Carex trisperma,0,e Climate Segment f Climate Segment
110,0.6841, Carex typhina,0.721078378,e Climate Segment f Climate Segment
111,0.0541, Carex virescens,0.079807092,e Climate Segment f Climate Segment
112,0, Carex viridula,0,e Climate Segment f Climate Segment
113,0.0411, Carex willdenowii,0.0624,e Climate Segment f Climate Segment
114,0.1735, Carya illinoinensis,0.227146444,e Climate Segment f Climate Segment
115,0.0382, Carya tomentosa,0.058423529,e Climate Segment f Climate Segment
116,0.2162, Castanea dentata,0.27476129,e Climate Segment f Climate Segment
117,0, Castilleja coccinea,0,e Climate Segment f Climate Segment
118,0.1992, Catalpa speciosa,0.254714754,e Climate Segment f Climate Segment
119,0, Ceanothus americanus,0,e Climate Segment f Climate Segment
120,0.3934, Celtis laevigata,0.444713043,e Climate Segment f Climate Segment
121,0.6811, Celtis tenuifolia,0.719130964,e Climate Segment f Climate Segment
122,5.00E-04, Cerastium nutans,0.000939759,e Climate Segment f Climate Segment
123,0, Ceratophyllum demersum,0,e Climate Segment f Climate Segment
124,0, Chaerophyllum procumbens,0,e Climate Segment f Climate Segment
125,0.0055, Chamaecrista nictitans,0.009480663,e Climate Segment f Climate Segment
126,0, Chamaedaphne calyculata,0,e Climate Segment f Climate Segment
127,0, Chamaenerion angustifolium,0,e Climate Segment f Climate Segment
128,0.1712, Chasmanthium latifolium,0.224902737,e Climate Segment f Climate Segment
129,0, Chenopodiastrum simplex,0,e Climate Segment f Climate Segment
130,0, Chenopodium pratericola,0,e Climate Segment f Climate Segment
131,0, Chimaphila umbellata,0,e Climate Segment f Climate Segment
132,0, Cicuta bulbifera,0,e Climate Segment f Climate Segment
133,0.9269, Cirsium carolinianum,0.928387801,e Climate Segment f Climate Segment
134,0, Cirsium discolor,0,e Climate Segment f Climate Segment
135,0, Cirsium muticum,0,e Climate Segment f Climate Segment
136,0, Cirsium pumilum,0,e Climate Segment f Climate Segment
137,0, Cladium mariscoides,0,e Climate Segment f Climate Segment
138,0.5274, Clematis pitcheri,0.57135,e Climate Segment f Climate Segment
139,0.7086, Clitoria mariana,0.741889933,e Climate Segment f Climate Segment
140,0.2637, Cocculus carolinus,0.324553846,e Climate Segment f Climate Segment
141,0.1263, Coleataenia anceps,0.174361062,e Climate Segment f Climate Segment
142,0.0034, Coleataenia rigidula,0.00599322,e Climate Segment f Climate Segment
143,0.1927, Coleataenia stipitata,0.248439669,e Climate Segment f Climate Segment
144,0, Comandra umbellata,0,e Climate Segment f Climate Segment
145,0, Comarum palustre,0,e Climate Segment f Climate Segment
146,0.1496, Commelina diffusa,0.204267834,e Climate Segment f Climate Segment
147,1.00E-04, Commelina erecta,0.000203257,e Climate Segment f Climate Segment
148,0.0452, Commelina virginica,0.068127536,e Climate Segment f Climate Segment
149,0, Comptonia peregrina,0,e Climate Segment f Climate Segment
150,0.0055, Conoclinium coelestinum,0.009480663,e Climate Segment f Climate Segment
151,1.00E-04, Coptis trifolia,0.000203257,e Climate Segment f Climate Segment
152,0.0191, Corallorhiza wisteriana,0.03056,e Climate Segment f Climate Segment
153,0, Coreopsis palmata,0,e Climate Segment f Climate Segment
154,0, Coreopsis tripteris,0,e Climate Segment f Climate Segment
155,0, Cornus drummondii,0,e Climate Segment f Climate Segment
156,0.442, Cornus foemina,0.493395349,e Climate Segment f Climate Segment
157,0, Cornus racemosa,0,e Climate Segment f Climate Segment
158,0, Cornus sericea,0,e Climate Segment f Climate Segment
159,0.52, Corydalis flavula,0.565296167,e Climate Segment f Climate Segment
160,0.5274, Crataegus viridis,0.57135,e Climate Segment f Climate Segment
161,0, Crocanthemum bicknellii,0,e Climate Segment f Climate Segment
162,0, Crocanthemum canadense,0,e Climate Segment f Climate Segment
163,0.366, Cunila origanoides,0.429293233,e Climate Segment f Climate Segment
164,0.1791, Cuphea viscosissima,0.23283,e Climate Segment f Climate Segment
165,0.9671, Cuscuta campestris,0.9671,e Climate Segment f Climate Segment
166,0.2184, Cuscuta compacta,0.27476129,e Climate Segment f Climate Segment
167,0, Cycloloma atriplicifolium,0,e Climate Segment f Climate Segment
168,0.0062, Cynanchum laeve,0.010541689,e Climate Segment f Climate Segment
169,0.0265, Cynoglossum virginianum,0.041757576,e Climate Segment f Climate Segment
170,0, Cyperus diandrus,0,e Climate Segment f Climate Segment
171,0.3386, Cyperus flavescens,0.402450286,e Climate Segment f Climate Segment
172,0, Cyperus lupulinus,0,e Climate Segment f Climate Segment
173,0.815, Cyperus pseudovegetus,0.836447368,e Climate Segment f Climate Segment
174,0, Cypripedium acaule,0,e Climate Segment f Climate Segment
175,0, Cypripedium candidum,0,e Climate Segment f Climate Segment
176,0, Dasiphora fruticosa,0,e Climate Segment f Climate Segment
177,0, Decodon verticillatus,0,e Climate Segment f Climate Segment
178,0.1612, Delphinium tricorne,0.214933333,e Climate Segment f Climate Segment
179,0.6563, Desmanthus illinoensis,0.696481633,e Climate Segment f Climate Segment
180,0, Desmodium illinoense,0,e Climate Segment f Climate Segment
181,0.9269, Desmodium laevigatum,0.928387801,e Climate Segment f Climate Segment
182,0.3901, Desmodium nuttallii,0.444713043,e Climate Segment f Climate Segment
183,0, Desmodium sessilifolium,0,e Climate Segment f Climate Segment
184,0.2744, Dianthus armeria,0.334259649,e Climate Segment f Climate Segment
185,0.0774, Diarrhena americana,0.110774312,e Climate Segment f Climate Segment
186,2.00E-04, Dichanthelium boscii,0.000386378,e Climate Segment f Climate Segment
187,0.0303, Dichanthelium commutatum,0.047032836,e Climate Segment f Climate Segment
188,0.0015, Dichanthelium depauperatum,0.002705202,e Climate Segment f Climate Segment
189,0.0206, Dichanthelium dichotomum,0.032791837,e Climate Segment f Climate Segment
190,0, Dichanthelium latifolium,0,e Climate Segment f Climate Segment
191,0.2184, Dichanthelium laxiflorum,0.27476129,e Climate Segment f Climate Segment
192,0, Dichanthelium oligosanthes,0,e Climate Segment f Climate Segment
193,0, Dichanthelium ovale,0,e Climate Segment f Climate Segment
194,0, Dichanthelium perlongum,0,e Climate Segment f Climate Segment
195,0.015, Dichanthelium polyanthes,0.024502618,e Climate Segment f Climate Segment
196,0.3933, Dicliptera brachiata,0.444713043,e Climate Segment f Climate Segment
197,1.00E-04, Diervilla lonicera,0.000203257,e Climate Segment f Climate Segment
198,0, Digitaria cognata,0,e Climate Segment f Climate Segment
199,0.3901, Dinebra panicea,0.444713043,e Climate Segment f Climate Segment
200,0.0082, Diodia teres,0.013791914,e Climate Segment f Climate Segment
201,0.1805, Diospyros virginiana,0.234162162,e Climate Segment f Climate Segment
202,0, Doellingeria umbellata,0,e Climate Segment f Climate Segment
203,2.00E-04, Drosera intermedia,0.000386378,e Climate Segment f Climate Segment
204,0, Drosera rotundifolia,0,e Climate Segment f Climate Segment
205,1.00E-04, Drymocallis arguta,0.000203257,e Climate Segment f Climate Segment
206,0, Dryopteris carthusiana,0,e Climate Segment f Climate Segment
207,0, Dryopteris cristata,0,e Climate Segment f Climate Segment
208,0, Dulichium arundinaceum,0,e Climate Segment f Climate Segment
209,0, Echinochloa walteri,0,e Climate Segment f Climate Segment
210,0, Echinocystis lobata,0,e Climate Segment f Climate Segment
211,0.815, Echinodorus cordifolius,0.836447368,e Climate Segment f Climate Segment
212,0, Eleocharis acicularis,0,e Climate Segment f Climate Segment
213,0, Eleocharis erythropoda,0,e Climate Segment f Climate Segment
214,0, Eleocharis flavescens,0,e Climate Segment f Climate Segment
215,0.1009, Eleocharis verrucosa,0.140853691,e Climate Segment f Climate Segment
216,0.018, Elephantopus carolinianus,0.029023256,e Climate Segment f Climate Segment
217,0, Elodea nuttallii,0,e Climate Segment f Climate Segment
218,0, Elymus canadensis,0,e Climate Segment f Climate Segment
219,0, Elymus repens,0,e Climate Segment f Climate Segment
220,0, Elymus trachycaulus,0,e Climate Segment f Climate Segment
221,0, Epilobium leptophyllum,0,e Climate Segment f Climate Segment
222,0, Equisetum fluviatile,0,e Climate Segment f Climate Segment
223,0.5667, Eragrostis capillaris,0.611800692,e Climate Segment f Climate Segment
224,0, Eriophorum virginicum,0,e Climate Segment f Climate Segment
225,0, Eriophorum viridicarinatum,0,e Climate Segment f Climate Segment
226,0, Eryngium yuccifolium,0,e Climate Segment f Climate Segment
227,0.318, Euonymus americanus,0.383073359,e Climate Segment f Climate Segment
228,0.0025, Eupatorium serotinum,0.004457143,e Climate Segment f Climate Segment
229,0.3765, Eupatorium sessilifolium,0.43913271,e Climate Segment f Climate Segment
230,0.0447, Euphorbia humistrata,0.067537046,e Climate Segment f Climate Segment
231,0, Eurybia macrophylla,0,e Climate Segment f Climate Segment
232,1.00E-04, Euthamia gymnospermoides,0.000203257,e Climate Segment f Climate Segment
233,0.0088, Eutrochium fistulosum,0.01476129,e Climate Segment f Climate Segment
234,0, Eutrochium maculatum,0,e Climate Segment f Climate Segment
235,0.3933, Fleischmannia incarnata,0.444713043,e Climate Segment f Climate Segment
236,0, Floerkea proserpinacoides,0,e Climate Segment f Climate Segment
237,0.0984, Forestiera acuminata,0.137981124,e Climate Segment f Climate Segment
238,0.9269, Frangula caroliniana,0.928387801,e Climate Segment f Climate Segment
239,0.0465, Fraxinus biltmoreana,0.06975,e Climate Segment f Climate Segment
240,0.5117, Galactia volubilis,0.558218182,e Climate Segment f Climate Segment
241,0, Galium boreale,0,e Climate Segment f Climate Segment
242,0, Galium labradoricum,0,e Climate Segment f Climate Segment
243,0, Galium pilosum,0,e Climate Segment f Climate Segment
244,0.5787, Gamochaeta purpurea,0.622601379,e Climate Segment f Climate Segment
245,1.00E-04, Gaultheria procumbens,0.000203257,e Climate Segment f Climate Segment
246,0, Gaylussacia baccata,0,e Climate Segment f Climate Segment
247,0.3933, Gentiana alba,0.444713043,e Climate Segment f Climate Segment
248,0.0048, Gentiana saponaria,0.00832,e Climate Segment f Climate Segment
249,0, Gentianopsis crinita,0,e Climate Segment f Climate Segment
250,0, Gentianopsis virgata,0,e Climate Segment f Climate Segment
251,0.019, Geranium carolinianum,0.030478149,e Climate Segment f Climate Segment
252,0, Geum aleppicum,0,e Climate Segment f Climate Segment
253,0, Geum laciniatum,0,e Climate Segment f Climate Segment
254,0.1539, Gillenia stipulata,0.208315835,e Climate Segment f Climate Segment
255,0, Glyceria septentrionalis,0,e Climate Segment f Climate Segment
256,0.2637, Gonolobus suberosus,0.324553846,e Climate Segment f Climate Segment
257,0.5934, Hasteola suaveolens,0.634043836,e Climate Segment f Climate Segment
258,2.00E-04, Hedeoma hispida,0.000386378,e Climate Segment f Climate Segment
259,0.0057, Helenium flexuosum,0.009771429,e Climate Segment f Climate Segment
260,0, Helianthus giganteus,0,e Climate Segment f Climate Segment
261,6.00E-04, Helianthus microcephalus,0.001117612,e Climate Segment f Climate Segment
262,0, Helianthus mollis,0,e Climate Segment f Climate Segment
263,0, Helianthus occidentalis,0,e Climate Segment f Climate Segment
264,0, Helianthus strumosus,0,e Climate Segment f Climate Segment
265,0, Heracleum maximum,0,e Climate Segment f Climate Segment
266,0, Hesperostipa spartea,0,e Climate Segment f Climate Segment
267,0, Heteranthera dubia,0,e Climate Segment f Climate Segment
268,0.4859, Heteranthera reniformis,0.53474709,e Climate Segment f Climate Segment
269,0, Heuchera richardsonii,0,e Climate Segment f Climate Segment
270,0.9269, Heuchera villosa,0.928387801,e Climate Segment f Climate Segment
271,0.0067, Hibiscus moscheutos,0.01136087,e Climate Segment f Climate Segment
272,0, Hieracium umbellatum,0,e Climate Segment f Climate Segment
273,0, Hordeum jubatum,0,e Climate Segment f Climate Segment
274,0.0709, Hordeum pusillum,0.101704828,e Climate Segment f Climate Segment
275,0.001, Houstonia caerulea,0.001835294,e Climate Segment f Climate Segment
276,0.013, Houstonia purpurea,0.021291339,e Climate Segment f Climate Segment
277,4.00E-04, Hybanthus concolor,0.000756364,e Climate Segment f Climate Segment
278,0, Hydrocotyle umbellata,0,e Climate Segment f Climate Segment
279,0, Hydrophyllum virginianum,0,e Climate Segment f Climate Segment
280,0.1506, Hylodesmum pauciflorum,0.205184279,e Climate Segment f Climate Segment
281,0.1703, Hymenocallis occidentalis,0.224192405,e Climate Segment f Climate Segment
282,0, Hypericum boreale,0,e Climate Segment f Climate Segment
283,0.0873, Hypericum drummondii,0.124657208,e Climate Segment f Climate Segment
284,0.0269, Hypericum gentianoides,0.042174874,e Climate Segment f Climate Segment
285,0.0925, Hypericum hypericoides,0.130884354,e Climate Segment f Climate Segment
286,2.00E-04, Hypericum kalmianum,0.000386378,e Climate Segment f Climate Segment
287,0, Hypericum majus,0,e Climate Segment f Climate Segment
288,0.158, Hypericum virgatum,0.211570815,e Climate Segment f Climate Segment
289,0.3347, Ilex decidua,0.398574046,e Climate Segment f Climate Segment
290,0, Ilex mucronata,0,e Climate Segment f Climate Segment
291,1.00E-04, Iodanthus pinnatifidus,0.000203257,e Climate Segment f Climate Segment
292,0.0171, Ipomoea lacunosa,0.027643523,e Climate Segment f Climate Segment
293,0.815, Iresine rhizomatosa,0.836447368,e Climate Segment f Climate Segment
294,0.1045, Iris brevicaulis,0.145553571,e Climate Segment f Climate Segment
295,0.6392, Iris cristata,0.680649829,e Climate Segment f Climate Segment
296,0.815, Isotrema tomentosa,0.836447368,e Climate Segment f Climate Segment
297,1.00E-04, Jeffersonia diphylla,0.000203257,e Climate Segment f Climate Segment
298,0.3073, Juncus anthelatus,0.370899807,e Climate Segment f Climate Segment
299,0.0691, Juncus brachycarpus,0.100042691,e Climate Segment f Climate Segment
300,0, Juncus canadensis,0,e Climate Segment f Climate Segment
301,0.0059, Juncus diffusissimus,0.010059016,e Climate Segment f Climate Segment
302,0.0316, Juncus marginatus,0.048929032,e Climate Segment f Climate Segment
303,1.00E-04, Juncus torreyi,0.000203257,e Climate Segment f Climate Segment
304,0, Koeleria macrantha,0,e Climate Segment f Climate Segment
305,0.3934, Krigia dandelion,0.444713043,e Climate Segment f Climate Segment
306,0, Krigia virginica,0,e Climate Segment f Climate Segment
307,0.3441, Kyllinga pumila,0.407435294,e Climate Segment f Climate Segment
308,0.0043, Lactuca floridana,0.007494972,e Climate Segment f Climate Segment
309,0, Larix laricina,0,e Climate Segment f Climate Segment
310,0, Lathyrus palustris,0,e Climate Segment f Climate Segment
311,8.00E-04, Lathyrus venosus,0.001476923,e Climate Segment f Climate Segment
